10-01-2022 20:25:52.167 INFO  c.e.x.controller.XmlController.parseProjectByPath - Run into API: /pathParse
10-01-2022 20:25:52.188 INFO  c.e.x.controller.XmlController.parseProjectByPath - Start building xml tree...
10-01-2022 20:25:52.499 INFO  c.e.x.controller.XmlController.parseProjectByPath - Done parsing xml tree...
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Parsing xml nodes done in 376 ms!
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Recalculating xmlNode id by javaNode id...
10-01-2022 20:26:03.458 INFO  c.e.x.controller.XmlController.analyzeDependency - Run into API: /dependency
10-01-2022 20:26:03.461 INFO  c.e.x.controller.XmlController.analyzeDependency - Analyzing dependency...
10-01-2022 20:26:03.568 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:75:43\div:76:54\div:77:42\div:93:63\p:outputLabel:95:88 with value messages
10-01-2022 20:26:03.569 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:122:52\ui:fragment:123:77\p:commandButton:132:80 with value menu
10-01-2022 20:26:03.569 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:75:43\div:76:54\div:77:42\div:78:62\p:selectOneMenu:83:93\f:selectItem:86:86 with value menu
10-01-2022 20:26:03.569 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:122:52\ui:fragment:135:78\p:commandButton:140:111 with value menu
10-01-2022 20:26:03.569 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:49:34\li:53:28\a:53:40 with value breadcrumb
10-01-2022 20:26:03.570 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:49:34\li:51:13\a:51:40 with value breadcrumb
10-01-2022 20:26:03.570 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:75:43\div:103:54 with value messages
10-01-2022 20:26:03.570 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:122:52\ui:fragment:135:78\p:commandButton:147:111 with value menu
10-01-2022 20:26:03.570 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:69:53\h3:70:43\p:selectBooleanCheckbox:72:90 with value messages
10-01-2022 20:26:03.570 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:122:52\ui:fragment:123:77\h:outputText:125:88 with value messages
10-01-2022 20:26:03.571 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:75:43\div:103:54\p:tree:114:81\p:treeNode:115:41\h:outputText:116:93 with value permission
10-01-2022 20:26:03.571 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:49:34\li:55:28\a:55:40 with value breadcrumb
